Category,Program Name,URL,Description
English,"English (Certifiable for Elementary Education), BS",/programs/english-certifiable-elementary-education-bs,
English,"English (Certifiable for Secondary Education), BS",/programs/english-certifiable-secondary-education-bs,
English,"English, MA",/programs/english-ma,
English,Post-Baccalaureate Teacher Preparation in English for Secondary Education,/programs/post-baccalaureate-teacher-preparation-english-secondary-education,"Learn and apply engaging and inclusive pedagogical theories and practices Focus on effective and innovative English Language Arts methods Engage in active fieldwork in public schools Apprentice to mentor teachers Complete a semester-long student teaching internship Develop leadership capacities in education and communication Attend coursework full- or part-time Co-build camaraderie and supports via small, cohorted classes Enjoy job market and career-focused mentorship both before and beyond graduation from a range of program faculty, mentor teachers, and clinical supervisors with decades of experience in CT public schools"
Entrepreneurship,"Entrepreneurship, Minor",/programs/entrepreneurship-minor,
Environmental and Occupational Safety,Official Certificate Program in Environmental and Occupational Safety,/programs/official-certificate-program-environmental-and-occupational-safety,
European Studies,"European Studies, Minor",/programs/european-studies-minor,
Exercise Science,"Exercise Science, BS",/programs/exercise-science-bs,
Finance,"Finance, BS",/programs/finance-bs,
Game Studies,"Game Studies, Minor",/programs/game-studies-minor,"18-credit program: 9 required, 9 electives Opportunities to develop specialized skill Use of Central’s Esports Center Access to the new XR Lab Opportunity to create and develop games Access to faculty with experience in game design Guest speakers from the games industry"
General Science,"General Science (Certifiable for secondary teaching), Minor",/programs/general-science-certifiable-secondary-teaching-minor,
General Science,General Science: Biology or Earth Sciences (Certifiable for Elementary Education) BS,/programs/general-science-biology-or-earth-sciences-certifiable-elementary-education-bs,
General Studies,"General Studies, BGS",/programs/general-studies-bgs,
Geography,"Geography, BA & BS",/programs/geography-ba-bs,
Geography,Environmental Geography Minor,/programs/environmental-geography-minor,
Geography,"Geographic Information Sciences, Minor",/programs/geographic-information-sciences-minor,
Geography,"Geography, Minor",/programs/geography-minor,
Geography,"Geography: Planning, Minor",/programs/geography-planning-minor,
Geography,"Geography, MS",/programs/geography-ms,"Starts every January and August 30-credit program Attend full- or part-time Hybrid class options (50% in person, 50% online) Evening classes available Financial aid is available No GMAT/GRE required"
Geology,"Geology, Minor",/programs/geology-minor,
Gerontology,Gerontology Certificate,/programs/gerontology-certificate,
Gerontology,"Gerontology, Minor",/programs/gerontology-minor,
Graphic/Information Design,"Graphic/Information Design, BA",/programs/graphic-information-design-ba,
Graphic/Information Design,Undergraduate Certificate in UX Design,/programs/undergraduate-certificate-ux-design,
Graphic/Information Design,"Information Design, MA",/programs/information-design-ma,
History,"History, BA",/programs/history-ba,
History,Cultural Resource Management Undergraduate Certificate,/programs/cultural-resource-management-undergraduate-certificate,
History,"History, Minor",/programs/history-minor,
History,"Public History, Minor",/programs/public-history-minor,
History,"History (Certifiable for Elementary Education), BS",/programs/history-certifiable-elementary-education-bs,
History,"History/Social Studies (Certifiable for Secondary Education), BS",/programs/history/social-studies-certifiable-secondary-education-bs,
History,"History, MA",/programs/history-ma,
History,"Public History, MA",/programs/public-history-ma,
